speed_y	speed_x	thw	timestamp	distan	thw2	gun	a_y	a_z	brake	position_x	position_y	front	a_x	speed	steer	drive-status	distan	obs-thw	obs-speed	ttc
-0.695544	-4.327980	4.33864876544	1533173663.633621	19.0128957783	4.33850515244	21.132219	0.091556	0.198263	14.023041	470815.453373	4399222.415360	100.432801	-0.428529	4.383514	14.468085	1.000000	19.958295544	0.776966683668	25.6874534822	3.56168208177
-0.697457	-4.326726	4.33474472301	1533173663.648621	18.9691535634	4.32738518992	20.816359	0.061329	-0.142089	14.071870	470815.387691	4399222.408699	100.521327	-0.412137	4.382580	14.680851	1.000000	19.8868344161	0.773895511166	25.6970535804	3.56084921184
-0.699851	-4.327240	4.31350886945	1533173663.653621	18.9031346719	4.31324349398	19.800106	0.095232	0.085523	13.987946	470815.366162	4399222.405473	100.555075	-0.438482	4.383469	14.936171	1.000000	19.815423634	0.770956679015	25.7023827322	3.54255219044
-0.707625	-4.328113	4.30763996055	1533173663.668621	18.8813653146	4.30740249664	19.800106	0.210247	-0.391009	13.987946	470815.301565	4399222.395720	100.656864	-0.448140	4.385578	14.936171	1.000000	19.7439590032	0.768048581716	25.706653815	3.53959137883
-0.713117	-4.327266	4.29068136884	1533173663.678621	18.8160361984	4.29043473822	18.612955	0.305246	0.103354	14.068818	470815.258497	4399222.389152	100.725677	-0.430111	4.385632	15.234042	1.000000	19.6724747921	0.765075164717	25.7131268918	3.52560620412
-0.715677	-4.327162	4.28070986647	1533173663.683621	18.7724702569	4.28044812171	18.612955	0.192489	0.129827	14.068818	470815.236967	4399222.385848	100.759627	-0.465739	4.385947	15.234042	1.000000	19.6009724307	0.762108262496	25.7194068025	3.51860160397
-0.723299	-4.327156	4.27531694131	1533173663.698621	18.7506882158	4.27517437301	20.668344	0.108473	0.234779	14.042878	470815.172255	4399222.375686	100.862274	-0.457287	4.387191	15.489362	1.000000	19.5294558453	0.759140007392	25.7257629095	3.51617693392
-0.728126	-4.326665	4.25914553454	1533173663.708621	18.6851831841	4.25903116232	20.668344	0.034022	-0.319839	14.042878	470815.129078	4399222.368793	100.931905	-0.452166	4.387505	15.489362	1.000000	19.4218779788	0.754859495695	25.7291298442	3.50428603884
-0.733826	-4.327597	4.24887311976	1533173663.718621	18.6414594287	4.24876083986	19.674982	0.057562	0.284754	14.013885	470815.085896	4399222.361848	101.003198	-0.498876	4.389373	15.723404	1.000000	19.3859678067	0.753310451325	25.7343672487	3.49556266843
-0.736138	-4.326418	4.23710955802	1533173663.723621	18.5977225091	4.23698840565	19.674982	0.080080	0.320042	14.013885	470815.064307	4399222.358355	101.038790	-0.532573	4.388598	15.723404	1.000000	19.3859678067	0.753310451325	25.7343672487	3.48379910669
-0.741251	-4.326226	4.23286498298	1533173663.733621	18.5758527589	4.23275332096	19.674982	0.148549	0.110646	14.013885	470815.021132	4399222.351331	101.111347	-0.531650	4.389269	15.723404	1.000000	19.2414627062	0.747435789411	25.7432985934	3.48542919357
-0.748829	-4.325863	4.22744017799	1533173663.748621	18.5321101344	4.22214043715	19.087511	0.156994	0.192093	14.010834	470814.955184	4399222.343405	101.213430	-0.445225	4.390198	16.021276	1.000000	19.1337122232	0.743021090149	25.7512370468	3.48441908784
-0.754446	-4.325565	4.20617382184	1533173663.758621	18.4656875465	4.20611725178	19.087511	0.027661	0.317011	14.010834	470814.912039	4399222.336166	101.287299	-0.556864	4.390866	16.021276	1.000000	19.0621628095	0.740102024817	25.7561284395	3.46607179702
-0.760226	-4.324669	4.1955724247	1533173663.768621	18.4219394706	4.19551393065	17.190815	0.042652	0.146218	14.021515	470814.869144	4399222.328917	101.362022	-0.480336	4.390980	16.234043	1.000000	18.990904445	0.737202844256	25.7607585116	3.45836958044
-0.766193	-4.325275	4.18555638593	1533173663.778626	18.3784362636	4.18549760272	17.190815	-0.042085	-0.062630	14.021515	470814.826227	4399222.321607	101.437056	-0.552362	4.392614	16.234043	1.000000	18.9195276129	0.734292067642	25.7656707006	3.45126431829
-0.768426	-4.325418	4.17409750782	1533173663.783621	18.3349011629	4.17402966955	20.875868	0.002324	0.107989	14.062715	470814.804800	4399222.317937	101.474583	-0.584055	4.393145	16.425531	1.000000	18.8837843588	0.732919928092	25.7651397308	3.44117757973
-0.776051	-4.325328	4.1686204879	1533173663.798621	18.3131621373	4.16857675704	20.875868	0.127453	-0.211255	14.062715	470814.740378	4399222.306795	101.589036	-0.461245	4.394396	16.425531	1.000000	18.8837843588	0.732919928092	25.7651397308	3.43570055981
-0.781587	-4.324125	4.15254051656	1533173663.808621	18.247783714	4.15251236211	20.523384	0.285988	0.019054	14.041352	470814.697323	4399222.299234	101.667081	-0.467403	4.394194	16.574469	1.000000	18.7050347033	0.725742492156	25.7736523704	3.4267980244
