auto-speed	auto-speed-x	auto-speed-y	distance	line-distance	line-id	obspeed	obspeed-x	obspeed-y	respeed	respeed-x	respeed-y	status	thw	timestamp	ttc
12.892685	-1.115786	12.844312	128.231760	0.081297	-1025501.000000	1.034359	-0.111160	1.028369	11.858574	-1.004627	11.815943	1.000000	10.813422	1542945305.427159	9.946087
12.893060	-1.117387	12.844549	129.088607	0.081652	-1025501.000000	1.525986	-0.165605	1.516973	11.367492	-0.951782	11.327576	1.000000	11.355945	1542945305.443157	10.012255
12.893560	-1.117554	12.845036	128.985655	0.081839	-1025501.000000	1.525986	-0.165605	1.516973	11.367991	-0.951949	11.328063	1.000000	11.346390	1542945305.451158	10.003883
12.893819	-1.118772	12.845191	128.882716	0.082031	-1025501.000000	1.525986	-0.165605	1.516973	11.368247	-0.953167	11.328217	1.000000	11.337079	1542945305.459158	9.995698
12.894049	-1.119405	12.845366	128.779772	0.082231	-1025501.000000	1.525986	-0.165605	1.516973	11.368475	-0.953800	11.328393	1.000000	11.327796	1542945305.467158	9.987535
12.895850	-1.116981	12.847385	128.573881	0.082610	-1025501.000000	1.525986	-0.165605	1.516973	11.370284	-0.951376	11.330412	1.000000	11.307887	1542945305.483157	9.970175
12.899793	-1.115566	12.851466	128.367959	0.082959	-1025501.000000	1.525986	-0.165605	1.516973	11.374232	-0.949961	11.334493	1.000000	11.285857	1542945305.499155	9.951164
12.901272	-1.114498	12.853043	128.161968	0.083282	-1025501.000000	1.525986	-0.165605	1.516973	11.375715	-0.948893	11.336070	1.000000	11.266279	1542945305.515155	9.934057
12.886537	-1.112680	12.838411	128.078145	0.083931	-1025501.000000	1.525986	-0.165605	1.516973	11.360982	-0.947075	11.321438	1.000000	11.273511	1542945305.523157	9.938911
12.885723	-1.114260	12.837456	128.597368	0.084045	-1025501.000000	1.759979	-0.192553	1.749413	11.126286	-0.921707	11.088043	1.000000	11.557978	1542945305.531155	9.979833
12.884627	-1.116055	12.836200	128.494444	0.084174	-1025501.000000	1.759979	-0.192553	1.749413	11.125183	-0.923502	11.086787	1.000000	11.549873	1542945305.539158	9.972694
