speed_y	speed_x	gun	timestamp	a_z	a_y	a_x	brake	position_x	position_y	front	speed	steer	drive-status	distan	thw	thw2
3.576858	-1.403226	17.335775	1533265686.288317	-0.494460	-0.495164	-0.288718	22.040131	433325.307509	4437228.721712	22.368044	3.842259	8.042553	1.000000	21.4327284672	5.56934305574	5.56917446843
3.569916	-1.404100	17.581446	1533265686.298320	-0.445895	-0.416827	-0.313819	22.149996	433325.293785	4437228.757511	22.398545	3.836117	8.425532	1.000000	21.3943539642	5.56833858466	5.56817069442
3.563882	-1.405114	17.581446	1533265686.308320	-0.614599	-0.473429	-0.318049	22.149996	433325.280054	4437228.793238	22.429589	3.830874	8.425532	1.000000	21.3560144727	5.56726039834	5.56709153363
3.557853	-1.405660	17.270161	1533265686.318320	-0.500719	-0.561794	-0.342355	20.749218	433325.266312	4437228.828908	22.461322	3.825467	8.851064	1.000000	21.3177396914	5.5648890099	5.56471961527
3.551442	-1.406447	17.270161	1533265686.328317	-0.446829	-0.740200	-0.285601	20.749218	433325.252569	4437228.864506	22.493644	3.819795	8.851064	1.000000	21.2795141571	5.56276304861	5.56259252978
3.545272	-1.406417	17.434958	1533265686.338321	-0.233789	-0.777280	-0.364100	21.420614	433325.238811	4437228.900063	22.526341	3.814048	9.255320	1.000000	21.2413554409	5.56103562135	5.56086267481
3.538426	-1.406979	17.434958	1533265686.348321	-0.112727	-0.682482	-0.211939	21.420614	433325.225056	4437228.935539	22.560126	3.807893	9.255320	1.000000	21.2032295598	5.55941375393	5.55924559938
3.531863	-1.406796	17.288471	1533265686.358317	-0.039201	-0.641122	-0.285184	21.994354	433325.211307	4437228.970942	22.594788	3.801728	9.723404	1.000000	21.1651802943	5.55841861978	5.55823924
3.526329	-1.406465	17.288471	1533265686.368320	0.320621	-0.598365	-0.211790	21.994354	433325.197553	4437229.006310	22.631454	3.796464	9.723404	1.000000	21.1272012551	5.55744895352	5.55726271187
3.519983	-1.406655	17.499046	1533265686.378320	0.015944	-0.475130	-0.194250	22.049286	433325.183999	4437229.041704	22.664259	3.790640	10.021276	1.000000	21.0892530278	5.55550070046	5.55497247644
3.515990	-1.406068	17.499046	1533265686.383321	0.056830	-0.436181	-0.228092	22.049286	433325.177125	4437229.059320	22.682932	3.786715	10.021276	1.000000	21.051352551	5.55369130352	5.55350878769
3.506188	-1.405134	17.305256	1533265686.398317	0.169350	-0.481431	-0.173396	22.128633	433325.156526	4437229.112043	22.741287	3.777269	10.297873	1.000000	21.0324428886	5.55444693627	5.55427141693
3.498916	-1.405420	17.305256	1533265686.408320	0.314338	-0.561671	-0.264821	22.128633	433325.142787	4437229.147123	22.781928	3.770626	10.297873	1.000000	20.9758387057	5.55334897124	5.55317577481
3.491992	-1.405150	17.402914	1533265686.418320	0.394233	-0.652870	-0.306732	21.290913	433325.129051	4437229.182126	22.823381	3.764101	10.531915	1.000000	20.9381642249	5.55314527389	5.55296765706
3.480741	-1.403667	17.402914	1533265686.433322	0.435613	-0.838239	-0.281657	21.290913	433325.108449	4437229.234508	22.885544	3.753110	10.531915	1.000000	20.9005625268	5.55277535532	5.55260406848
3.476454	-1.402560	17.694363	1533265686.438320	0.638800	-0.924606	-0.266294	21.898222	433325.101595	4437229.251929	22.907124	3.748720	10.765958	1.000000	20.844274727	5.55406642392	5.55386725329
3.467966	-1.402474	17.694363	1533265686.448320	0.530795	-0.876972	-0.152775	21.898222	433325.087887	4437229.286719	22.950058	3.740818	10.765958	1.000000	20.8255539218	5.55555989599	5.55537728126
3.459528	-1.401561	17.286945	1533265686.458320	0.603390	-0.747950	-0.252777	22.014191	433325.074185	4437229.321423	22.993487	3.732654	11.106383	1.000000	20.7881606957	5.5573056199	5.55711630335
3.451089	-1.400880	17.532616	1533265686.468317	0.563127	-0.677490	-0.237471	22.073702	433325.060690	4437229.356127	23.032621	3.724578	11.510638	1.000000	20.7508496731	5.55982379513	5.55927489479
3.442939	-1.399841	17.532616	1533265686.478320	0.835410	-0.714074	-0.299395	22.073702	433325.047004	4437229.390658	23.077392	3.716636	11.510638	1.000000	20.7136141701	5.5615216115	5.56133182607
3.429756	-1.396844	17.532616	1533265686.493320	0.888067	-0.776896	-0.242208	22.073702	433325.026507	4437229.442278	23.145286	3.703295	11.510638	1.000000	20.676469904	5.56340796114	5.56322166175
3.425775	-1.395631	17.091631	1533265686.498320	0.812557	-0.769018	-0.229302	22.114901	433325.019685	4437229.459442	23.168698	3.699151	11.978724	1.000000	20.6209293656	5.56846283309	5.56826538679
3.416884	-1.392487	17.091631	1533265686.508320	1.150870	-0.787259	-0.119477	22.114901	433325.006064	4437229.493703	23.215185	3.689731	11.978724	1.000000	20.6024593198	5.56970891194	5.56951022541
3.415874	-1.383029	17.256428	1533265686.518322	0.712508	-0.819539	-0.075965	21.007095	433324.993130	4437229.528417	23.265985	3.685235	12.446809	1.000000	20.5655899859	5.57630096301	5.57373694339
3.408228	-1.381247	17.256428	1533265686.528321	0.791333	-0.703301	-0.172428	21.007095	433324.979933	4437229.562839	23.314750	3.677480	12.446809	1.000000	20.5285447418	5.5714472036	5.57048458017
3.399649	-1.381110	17.091631	1533265686.543320	0.191046	-0.815421	-0.190320	21.356527	433324.960149	4437229.614359	23.388640	3.669479	12.893617	1.000000	20.4916796514	5.57314956511	5.57220696004
