speed_y	speed_x	gun	timestamp	a_z	a_y	a_x	brake	position_x	position_y	front	speed	steer	drive-status	distan	thw	thw2
-0.838868	-4.317014	17.236591	1533173663.908621	0.122653	-0.177696	-0.690085	14.122225	470814.264952	4399222.223279	102.457984	4.397762	17.574469	1.000000	17.808990505	4.04899694013	4.0489895266
-0.845154	-4.315835	17.236591	1533173663.918621	-0.014304	-0.144207	-0.614645	14.122225	470814.221740	4399222.214965	102.539781	4.397808	17.574469	1.000000	17.7649760718	4.039556243	4.0395492234
-0.852118	-4.313567	20.415045	1533173663.928621	-0.201388	0.157836	-0.685906	13.997101	470814.178544	4399222.206581	102.621918	4.396927	17.574469	1.000000	17.7209715317	4.02950638788	4.02950095405
-0.858738	-4.311344	20.415045	1533173663.938621	-0.435071	0.077340	-0.672400	13.997101	470814.135367	4399222.198131	102.703915	4.396034	17.808510	1.000000	17.6769694197	4.02030733294	4.0203008646
-0.863569	-4.311113	20.415045	1533173663.948621	0.102856	0.008452	-0.696209	13.997101	470814.090794	4399222.192595	102.782919	4.396754	17.808510	1.000000	17.6329733308	4.02183224382	4.01110940697
-0.870868	-4.308977	19.734493	1533173663.958621	-0.214027	-0.095400	-0.809144	14.094759	470814.047547	4399222.184088	102.865463	4.396100	18.063829	1.000000	17.5880578589	4.00026091983	4.00023696092
-0.878728	-4.307951	19.734493	1533173663.968621	-0.014185	-0.078776	-0.723884	14.094759	470814.004312	4399222.175506	102.947988	4.396658	18.063829	1.000000	17.5439821052	3.99083012764	3.99080596555
-0.885888	-4.306653	18.971542	1533173663.978621	0.116857	-0.063892	-0.788526	14.094759	470813.961094	4399222.166849	103.030973	4.396824	18.170214	1.000000	17.499903585	3.98029840618	3.9802740138
-0.889536	-4.305462	18.971542	1533173663.983621	0.148347	-0.001439	-0.770958	14.094759	470813.939490	4399222.162494	103.073064	4.396394	18.170214	1.000000	17.45582707	3.97013054448	3.97009911472
-0.904541	-4.300850	17.384604	1533173664.003627	0.281995	-0.005868	-0.758916	14.067292	470813.853081	4399222.144964	103.241234	4.394941	18.212767	1.000000	17.4337884937	3.96550030464	3.9654745443
-0.911768	-4.304040	17.384604	1533173664.013631	0.481385	-0.031064	-0.734960	14.067292	470813.808480	4399222.138772	103.325239	4.399555	18.212767	1.000000	17.3456192464	3.95623294914	3.946724028
-0.918406	-4.301884	20.064089	1533173664.023626	0.251979	-0.015311	-0.649628	14.171054	470813.765050	4399222.129750	103.410601	4.398827	18.297873	1.000000	17.300590477	3.93238076346	3.93235008472
-0.924283	-4.299413	20.064089	1533173664.033626	0.332633	-0.092822	-0.638817	14.171054	470813.721626	4399222.120660	103.495727	4.397642	18.297873	1.000000	17.2562332749	3.92294843416	3.92291701286
-0.929666	-4.296672	19.119555	1533173664.043627	0.504560	-0.181988	-0.629281	14.076447	470813.678221	4399222.111513	103.581329	4.396097	18.361702	1.000000	17.2118680646	3.91391832341	3.91388568342
-0.932472	-4.292288	19.119555	1533173664.053627	0.403492	-0.147462	-0.580186	14.076447	470813.633924	4399222.105187	103.660154	4.392407	18.361702	1.000000	17.1675097325	3.91509989553	3.90517082142
