timestamp	auto-speed	respeed	obsspeed	auto-a-y	auto-a-x	distance	line-distance	line-id	thw	ttc	statu
1530085678.467933	22.5543708	1.6170444	24.1697772	0.01951	-0.173643	16.185094	-0.01326	-1025001.0	2.58337237233	36.0326150599	1.
1530085678.477933	22.5593172	1.6354332	24.187698	-0.024492	-0.211303	16.706644	-0.013433	-1025001.0	2.66603451987	36.7755273649	1.
1530085678.482938	22.562712	1.6318872	24.187698	0.00718	-0.205305	16.675266	-0.013515	-1025001.0	2.66062686081	36.7862175768	1.
1530085678.497933	22.573008	1.6214868	24.187698	0.287248	0.018058	16.58123	-0.013755	-1025001.0	2.64441619832	36.8133912653	1.
1530085678.507933	22.6067724	1.5875532	24.187698	0.216684	-0.027355	16.517489	-0.013878	-1025001.0	2.63031623214	37.4557277199	1.
1530085678.517933	22.6111032	1.5823368	24.187698	0.304738	-0.071615	16.454246	-0.014046	-1025001.0	2.61974327728	37.4353207231	1.
1530085678.527933	22.6122804	1.5805764	24.187698	0.062069	-0.277895	16.390996	-0.014191	-1025001.0	2.60953714337	37.332953725	1.
1530085678.537933	22.6179396	1.5745788	24.187698	-0.057411	-0.256303	16.327735	-0.014322	-1025001.0	2.59881523426	37.3305203906	1.
1530085678.547933	22.61934	1.572804	24.187698	0.049802	-0.228916	16.264469	-0.014435	-1025001.0	2.58858518418	37.2278353819	1.
1530085678.557933	22.6228032	1.5691428	24.187698	0.087628	-0.073853	16.20119	-0.014621	-1025001.0	2.57811923148	37.1695195619	1.
1530085678.567933	22.6270656	1.5643296	24.187698	0.177306	-0.011695	16.137891	-0.014873	-1025001.0	2.56756260962	37.138214095	1.
1530085678.577933	22.6292076	1.6275924	24.2567964	0.154792	-0.04329	16.714921	-0.015111	-1025001.0	2.65911721982	36.9709981443	1.
1530085678.582933	22.631724	1.625076	24.2567964	0.116569	-0.076721	16.683264	-0.015226	-1025001.0	2.65378591573	36.9581178973	1.
1530085678.597933	22.6358136	1.6210368	24.2567964	0.005104	-0.172963	16.588277	-0.01555	-1025001.0	2.63819972435	36.839260651	1.
1530085678.607933	22.6446192	1.6124724	24.2567964	0.022303	-0.175473	16.524781	-0.015186	-1025001.0	2.6270793549	36.8931657993	1.
1530085678.617933	22.65129	1.6058448	24.2567964	0.162942	-0.040095	16.461368	-0.015129	-1025001.0	2.61622736718	36.9032703534	1.
1530085678.627933	22.6572192	1.5999444	24.2567964	0.250114	0.041113	16.397939	-0.015064	-1025001.0	2.60546450466	36.8966449084	1.
1530085678.642932	22.6687572	1.588518	24.2567964	0.283172	0.160962	16.302765	-0.014964	-1025001.0	2.58902389232	36.9463575484	1.
1530085678.647933	22.6668384	1.5904692	24.2567964	0.247132	-0.024071	16.271023	-0.014926	-1025001.0	2.58420172087	36.8291839917	1.
1530085678.657933	22.6691424	1.5881652	24.2567964	-0.037344	-0.070262	16.207625	-0.01465	-1025001.0	2.5738710786	36.7389047437	1.
1530085678.667933	22.6759572	1.5814836	24.2567964	-0.024283	-0.054004	16.144217	-0.014364	-1025001.0	2.56303099743	36.7497843164	1.
1530085678.677933	22.6789776	1.1180376	23.7842136	0.196438	-0.09042	16.768145	-0.014063	-1025001.0	2.66173030657	53.9922109954	1.
1530085678.692933	22.68855	1.1100636	23.7842136	0.226375	-0.022884	16.672989	-0.013585	-1025001.0	2.64550887562	54.0714607704	1.
1530085678.697933	22.6903608	1.1089728	23.7842136	0.163443	-0.136678	16.641261	-0.013416	-1025001.0	2.64026386041	54.0216492235	1.
1530085678.707932	22.6977156	1.1018664	23.7842136	0.10512	-0.216871	16.577793	-0.013073	-1025001.0	2.62934190611	54.1626959493	1.
1530085678.717938	22.6972152	1.1006892	23.7842136	0.067161	-0.06974	16.514644	-0.013237	-1025001.0	2.61938382644	54.0140835397	1.
1530085678.727933	22.7014956	1.0968048	23.7842136	0.299726	-0.165845	16.451357	-0.013129	-1025001.0	2.60885389419	53.9976531831	1.
1530085678.737933	22.7031264	1.0952028	23.7842136	0.265761	-0.052572	16.388032	-0.013017	-1025001.0	2.59862514794	53.8684846313	1.
1530085678.752933	22.7118564	1.0865052	23.7842136	0.153704	0.021544	16.293218	-0.012834	-1025001.0	2.58259755464	53.9855536817	1.
1530085678.762933	22.7170404	1.0810656	23.7842136	0.031015	0.002729	16.230276	-0.012692	-1025001.0	2.57203370559	54.0475930415	1.
1530085678.772933	22.7207304	1.327374	24.0443892	-0.070798	0.050333	16.864276	-0.012557	-1025001.0	2.67207050703	45.7379710617	1.
1530085678.782933	22.7201076	1.327896	24.0443892	0.033747	0.05219	16.801307	-0.012418	-1025001.0	2.66216631826	45.5492788592	1.
1530085678.792933	22.7244996	1.3236156	24.0443892	0.202253	-0.045442	16.738332	-0.01228	-1025001.0	2.65167533986	45.5252984326	1.
1530085678.802933	22.72509	1.3224888	24.0443892	0.300842	0.013705	16.675338	-0.011934	-1025001.0	2.64162724108	45.3926088448	1.
1530085678.812933	22.733514	1.3138704	24.0443892	0.266581	-0.069421	16.612358	-0.011681	-1025001.0	2.63067508173	45.5177990158	1.
1530085678.822933	22.73976	1.3073616	24.0443892	0.123201	-0.037796	16.54936	-0.011417	-1025001.0	2.61997910268	45.5709392107	1.
1530085678.832933	22.7445264	1.3026384	24.0443892	0.002828	-0.069419	16.486347	-0.011147	-1025001.0	2.60945636573	45.5620294934	1.
1530085678.842933	22.7488284	1.2985524	24.0443892	0.034672	0.04484	16.423317	-0.010883	-1025001.0	2.59898840329	45.5306549046	1.
1530085678.852933	22.7534508	1.2936564	24.0443892	0.191672	0.047029	16.360295	-0.010721	-1025001.0	2.58848921501	45.5275929528	1.
1530085678.862933	22.757706	1.289124	24.0443892	0.300523	-0.136609	16.297287	-0.010651	-1025001.0	2.57803810279	45.5117065542	1.
1530085678.877933	22.7629188	1.620432	24.3820476	0.201867	-0.178063	16.859266	-0.010518	-1025001.0	2.6663257965	37.4550475429	1.
1530085678.882933	22.7657916	1.6175844	24.3820476	0.12755	-0.16041	16.827752	-0.010468	-1025001.0	2.661005963	37.4508478197	1.
1530085678.897933	22.7743668	1.6088076	24.3820476	0.049998	-0.048522	16.733185	-0.010313	-1025001.0	2.64505558065	37.4435488743	1.
1530085678.907933	22.7790036	1.604196	24.3820476	0.127032	-0.092218	16.670122	-0.010204	-1025001.0	2.63455067016	37.4096676466	1.
1530085678.917933	22.7862396	1.5967476	24.3820476	0.179299	-0.08674	16.607044	-0.010086	-1025001.0	2.62374834328	37.4419591424	1.
1530085678.927933	22.7898144	1.5930468	24.3820476	0.273656	-0.137458	16.543952	-0.009954	-1025001.0	2.61337043622	37.3863637904	1.
1530085678.932933	22.7865996	1.595592	24.3820476	0.284104	-0.135123	16.512513	-0.008937	-1025001.0	2.60877216625	37.2557939624	1.
1530085678.947933	22.7888352	1.5933168	24.3820476	0.103094	-0.070274	16.417957	-0.008051	-1025001.0	2.5935790347	37.0953505292	1.
1530085678.957933	22.7931336	1.5889968	24.3820476	-0.000335	-0.004097	16.354908	-0.007452	-1025001.0	2.58313182528	37.0533589495	1.
1530085678.967933	22.7994408	1.5827364	24.3820476	-0.047443	0.012466	16.291685	-0.006647	-1025001.0	2.57243440813	37.0561174937	1.
1530085678.977933	22.8066228	1.6295184	24.4320948	0.158868	0.052103	16.911337	-0.005841	-1025001.0	2.66943570444	37.3612309011	1.
1530085678.982933	22.8041424	1.6322904	24.4320948	0.230672	0.015369	16.879712	-0.005438	-1025001.0	2.6647335442	37.2280344233	1.
1530085678.997933	22.8170052	1.6186644	24.4320948	0.391694	0.096808	16.784758	-0.003781	-1025001.0	2.64824977118	37.3302389303	1.
1530085679.007933	22.818186	1.618146	24.4320948	0.24694	0.05753	16.721457	-0.002757	-1025001.0	2.63812580018	37.2013682325	1.
1530085679.017933	22.826124	1.6103484	24.4320948	0.084541	0.221291	16.658085	-0.001644	-1025001.0	2.62721371355	37.2398333181	1.
1530085679.027933	22.8316536	1.6056	24.4320948	0.010577	0.145591	16.594729	-0.000663	-1025001.0	2.61658771838	37.2079125561	1.
1530085679.037933	22.8393756	1.597914	24.4320948	0.02002	0.260133	16.531357	0.000304	-1025001.0	2.60571419474	37.2441102587	1.
1530085679.047933	22.8460752	1.5918228	24.4320948	0.152881	0.082255	16.467975	0.001261	-1025001.0	2.59496256933	37.2432848681	1.
1530085679.057933	22.851576	1.5861384	24.4320948	0.400452	0.161743	16.404565	0.002118	-1025001.0	2.58434840555	37.2328379415	1.
1530085679.067933	22.852692	1.5851772	24.4320948	0.37012	-0.005562	16.341144	0.002979	-1025001.0	2.57423144722	37.1113831312	1.
1530085679.077933	22.8593808	1.0789488	23.9361156	0.206934	0.110318	16.925693	0.003834	-1025001.0	2.6655356649	56.4739446394	1.
1530085679.087933	22.86189	1.0764252	23.9361156	-0.021231	-0.016759	16.862242	0.004693	-1025001.0	2.65525165242	56.3941379299	1.
1530085679.097933	22.8736476	1.0647468	23.9361156	-0.061017	0.093472	16.798772	0.005548	-1025001.0	2.6438974779	56.7980849532	1.
1530085679.107933	22.9120812	1.0263924	23.9361156	0.180143	-0.053868	16.733977	0.006507	-1025001.0	2.62928176075	58.6932611738	1.
1530085679.117933	22.919886	1.018476	23.9361156	0.22811	-0.008119	16.669875	0.007357	-1025001.0	2.61831799687	58.9228906719	1.
1530085679.127932	22.9206204	1.0177632	23.9361156	0.404277	0.131826	16.605764	0.008202	-1025001.0	2.60816458528	58.7373864569	1.
1530085679.137933	22.9246452	1.0134828	23.9361156	0.176644	0.016278	16.541629	0.009043	-1025001.0	2.59763515991	58.7576467997	1.
1530085679.147933	22.9308768	1.007136	23.9361156	0.029815	0.111036	16.477483	0.009875	-1025001.0	2.5868587284	58.8986381184	1.
1530085679.157933	22.9430484	0.9947304	23.9361156	-0.06829	0.073115	16.413316	0.010698	-1025001.0	2.57541790305	59.4009568824	1.
1530085679.167933	22.9511088	0.9863496	23.9361156	0.233289	0.095369	16.349125	0.011508	-1025001.0	2.56444472957	59.6713883191	1.
1530085679.177933	22.9593276	0.9111132	23.8703976	0.283982	0.186106	16.984855	0.012312	-1025001.0	2.66320856888	67.1107366242	1.
1530085679.187938	22.9616316	0.9087804	23.8703976	0.407241	0.043271	16.920536	0.012754	-1025001.0	2.65285719504	67.0282167177	1.
1530085679.197933	22.9693788	0.9010224	23.8703976	0.249589	-0.095042	16.856262	0.013212	-1025001.0	2.64188873928	67.3485400585	1.
1530085679.207933	22.9616784	0.9087228	23.8703976	0.168818	-0.118699	16.792247	0.013872	-1025001.0	2.63273825837	66.5242351133	1.
1530085679.217933	22.9725144	0.897894	23.8703976	-0.067604	0.092406	16.728101	0.014369	-1025001.0	2.62144415502	67.0693462703	1.
1530085679.227933	22.9819968	0.8884008	23.8703976	0.148179	0.010088	16.66393	0.014862	-1025001.0	2.61031051923	67.5259950239	1.
1530085679.242933	22.9891932	0.881208	23.8703976	0.285096	0.193421	16.56764	0.015593	-1025001.0	2.5944148401	67.6837976959	1.
1530085679.247933	22.9914864	0.8789364	23.8703976	0.392883	-0.012364	16.535546	0.015729	-1025001.0	2.58913080104	67.7272730996	1.
1530085679.257933	22.9904388	0.8800164	23.8703976	0.18021	0.15027	16.471355	0.015989	-1025001.0	2.57919731397	67.3815601618	1.
1530085679.267933	22.9975308	0.8730756	23.8703976	-0.025813	0.072224	16.40717	0.016247	-1025001.0	2.56835451222	67.6525744162	1.
1530085679.277933	23.003712	0.9047736	23.8940712	-0.005756	0.263679	16.969021	0.016491	-1025001.0	2.65559208879	67.517968694	1.
1530085679.292933	23.0102532	0.8995608	23.8940712	0.080226	-0.028386	16.872691	0.016846	-1025001.0	2.63976615433	67.5237155732	1.
1530085679.302933	23.045238	0.8619948	23.8940712	0.25409	0.133519	16.807493	0.017665	-1025001.0	2.62557387344	70.1941297094	1.
1530085679.312933	23.0499072	0.8574372	23.8940712	0.410115	-0.010134	16.742689	0.018189	-1025001.0	2.61492074033	70.295154444	1.
1530085679.322932	23.0593644	0.8479152	23.8940712	0.265107	0.020245	16.67788	0.018715	-1025001.0	2.60373039597	70.8094016949	1.
1530085679.332933	23.0662116	0.841302	23.8940712	0.077641	-0.006347	16.613039	0.019241	-1025001.0	2.59283758587	71.0885513169	1.
1530085679.342933	23.0749776	0.8331552	23.8940712	-0.074917	0.065653	16.548183	0.019764	-1025001.0	2.58173419852	71.5034351343	1.
1530085679.352933	23.0789484	0.8290548	23.8940712	-0.003668	0.052615	16.483556	0.020287	-1025001.0	2.57120907641	71.576452606	1.
1530085679.362933	23.082534	0.8250192	23.8940712	0.1133	0.006819	16.419167	0.020822	-1025001.0	2.56076742701	71.6456067932	1.
1530085679.372933	23.0827428	1.6274556	24.692652	0.312807	-0.041429	17.075418	0.02136	-1025001.0	2.66309360775	37.7715403111	1.
1530085679.382933	23.0934492	1.6173648	24.692652	0.371574	0.040675	17.011008	0.021898	-1025001.0	2.65181819613	37.8638318331	1.
1530085679.392933	23.099868	1.612296	24.692652	0.285358	0.111462	16.946584	0.02242	-1025001.0	2.64104116959	37.8390211227	1.
1530085679.402933	23.0966712	1.613322	24.692652	-0.06566	0.153831	16.882471	0.023751	-1025001.0	2.63141363852	37.6718941414	1.
1530085679.412933	23.10156	1.608642	24.692652	-0.095292	0.030574	16.818204	0.024576	-1025001.0	2.62084181328	37.6376685428	1.
