timestamp	auto-speed	auto-speed	respeed	obsspeed	auto-a-y	auto-a-x	distance	line-distance	line-id	thw	ttc	statu
1530084975.572972	13.3028676	13.3028676	0.1010664	13.3449732	0.414055	-0.043831	14.571688	0.021608	-1025001.0	3.94336607545	519.045665028	1.
1530084975.582972	13.3193016	13.3193016	0.095274	13.3449732	0.616148	0.121555	14.535068	0.02139	-1025001.0	3.92860274295	549.21851502	1.
1530084975.592972	13.3359912	13.3359912	0.0982188	13.3449732	0.679368	0.119716	14.498409	0.021162	-1025001.0	3.91379025505	531.408166257	1.
1530084975.607972	13.3490232	13.3490232	0.087444	13.3449732	0.224884	0.004481	14.443315	0.020758	-1025001.0	3.89511151647	594.619802388	1.
1530084975.617972	13.3607376	13.3607376	0.0830196	13.3449732	-0.004292	-0.275837	14.406547	0.020514	-1025001.0	3.88178937067	624.714756515	1.
1530084975.627972	13.3756524	13.3756524	0.5924016	13.9659372	0.051345	-0.277029	14.771827	0.020282	-1025001.0	3.97577446017	89.7677811809	1.
1530084975.632972	13.3780644	13.3780644	0.5902452	13.9659372	0.167344	-0.223061	14.753412	0.02017	-1025001.0	3.97010222196	89.9834224827	1.
1530084975.647972	13.4060688	13.4060688	0.5624604	13.9659372	0.658412	-0.085927	14.698103	0.019848	-1025001.0	3.94695653061	94.0744820435	1.
1530084975.657972	13.409838	13.409838	0.5596272	13.9659372	0.65687	0.099991	14.661661	0.021002	-1025001.0	3.9360639256	94.3163227234	1.
1530084975.667972	13.4226036	13.4226036	0.546588	13.9659372	0.288436	0.012834	14.624784	0.020825	-1025001.0	3.92242995241	96.323414345	1.
1530084975.677972	13.4337168	13.4337168	0.535248	13.9659372	0.204281	0.054077	14.587869	0.020637	-1025001.0	3.90929250496	98.1158797417	1.
1530084975.682972	13.4437752	13.4437752	0.5251824	13.9659372	0.125312	0.041144	14.569402	0.020542	-1025001.0	3.90142251114	99.8697732445	1.
1530084975.697972	13.4654508	13.4654508	0.5036868	13.9659372	0.354754	-0.173526	14.51393	0.020237	-1025001.0	3.88031182736	103.735392708	1.
1530084975.707972	13.4770536	13.4770536	0.491778	13.9659372	0.444921	0.051333	14.476905	0.019989	-1025001.0	3.86708100649	105.976391787	1.
1530084975.717972	13.4854092	13.4854092	0.593226	14.0746644	0.526212	0.107109	14.816147	0.019738	-1025001.0	3.95524736469	89.9119883485	1.
1530084975.727972	13.4946288	13.4946288	0.584262	14.0746644	0.416205	0.125376	14.779063	0.019481	-1025001.0	3.94265211652	91.0629594257	1.
1530084975.737972	13.5072216	13.5072216	0.5715936	14.0746644	0.196359	0.06271	14.741946	0.019223	-1025001.0	3.9290838021	92.8474454578	1.
1530084975.747977	13.5230256	13.5230256	0.5561316	14.0746644	0.112109	-0.036827	14.704772	0.018963	-1025001.0	3.91459579874	95.1882237945	1.
1530084975.757972	13.535658	13.535658	0.543528	14.0746644	0.213586	-0.066583	14.667983	0.020059	-1025001.0	3.901157875	97.1518280567	1.
1530084975.767972	13.5512028	13.5512028	0.528336	14.0746644	0.438795	0.088052	14.630471	0.019945	-1025001.0	3.88671739161	99.6897724176	1.
