distance	id	result	timestamp
-1.000000	-1.000000	-1.000000	1542943525.836910
-1.000000	-1.000000	-1.000000	1542943525.970269
-1.000000	-1.000000	-1.000000	1542943526.103737
-1.000000	-1.000000	-1.000000	1542943526.237047
-1.000000	-1.000000	-1.000000	1542943526.369569
-1.000000	-1.000000	-1.000000	1542943526.636585
-1.000000	-1.000000	-1.000000	1542943526.770548
-1.000000	-1.000000	-1.000000	1542943526.902817
-1.000000	-1.000000	-1.000000	1542943527.035814
-1.000000	-1.000000	-1.000000	1542943527.170566
-1.000000	-1.000000	-1.000000	1542943527.303542
-1.000000	-1.000000	-1.000000	1542943527.436238
-1.000000	-1.000000	-1.000000	1542943527.571240
-1.000000	-1.000000	-1.000000	1542943527.703184
-1.000000	-1.000000	-1.000000	1542943527.836270
-1.000000	-1.000000	-1.000000	1542943527.971078
-1.000000	-1.000000	-1.000000	1542943528.103283
-1.000000	-1.000000	-1.000000	1542943528.236261
-1.000000	-1.000000	-1.000000	1542943528.370787
-1.000000	-1.000000	-1.000000	1542943528.502728
-1.000000	-1.000000	-1.000000	1542943528.636087
-1.000000	-1.000000	-1.000000	1542943528.771023
-1.000000	-1.000000	-1.000000	1542943528.903267
-1.000000	-1.000000	-1.000000	1542943529.036132
-1.000000	-1.000000	-1.000000	1542943529.303300
-1.000000	-1.000000	-1.000000	1542943529.436475
-1.000000	-1.000000	-1.000000	1542943529.570237
-1.000000	-1.000000	-1.000000	1542943529.704262
-1.000000	-1.000000	-1.000000	1542943529.836450
-1.000000	-1.000000	-1.000000	1542943529.970354
-1.000000	-1.000000	-1.000000	1542943530.105925
-1.000000	-1.000000	-1.000000	1542943530.235628
-1.000000	-1.000000	-1.000000	1542943530.370653
-1.000000	-1.000000	-1.000000	1542943530.502555
-1.000000	-1.000000	-1.000000	1542943530.769620
-1.000000	-1.000000	-1.000000	1542943530.902490
-1.000000	-1.000000	-1.000000	1542943531.035950
-1.000000	-1.000000	-1.000000	1542943531.302871
-1.000000	-1.000000	-1.000000	1542943531.436944
-1.000000	-1.000000	-1.000000	1542943531.574588
-1.000000	-1.000000	-1.000000	1542943531.702679
-1.000000	-1.000000	-1.000000	1542943531.836534
-1.000000	-1.000000	-1.000000	1542943531.970391
-1.000000	-1.000000	-1.000000	1542943532.103359
-1.000000	-1.000000	-1.000000	1542943532.236360
-1.000000	-1.000000	-1.000000	1542943532.370127
-1.000000	-1.000000	-1.000000	1542943532.503917
-1.000000	-1.000000	-1.000000	1542943532.636488
-1.000000	-1.000000	-1.000000	1542943532.769705
-1.000000	-1.000000	-1.000000	1542943532.902856
-1.000000	-1.000000	-1.000000	1542943533.035887
-1.000000	-1.000000	-1.000000	1542943533.169890
-1.000000	-1.000000	-1.000000	1542943533.303540
-1.000000	-1.000000	-1.000000	1542943533.570910
-1.000000	-1.000000	-1.000000	1542943533.704207
-1.000000	-1.000000	-1.000000	1542943533.970868
-1.000000	-1.000000	-1.000000	1542943534.102886
-1.000000	-1.000000	-1.000000	1542943534.236630
-1.000000	-1.000000	-1.000000	1542943534.370069
-1.000000	-1.000000	-1.000000	1542943534.503066
-1.000000	-1.000000	-1.000000	1542943534.637633
-1.000000	-1.000000	-1.000000	1542943534.770040
-1.000000	-1.000000	-1.000000	1542943534.902749
-1.000000	-1.000000	-1.000000	1542943535.036809
-1.000000	-1.000000	-1.000000	1542943535.303300
-1.000000	-1.000000	-1.000000	1542943535.436917
-1.000000	-1.000000	-1.000000	1542943535.570397
-1.000000	-1.000000	-1.000000	1542943535.703733
-1.000000	-1.000000	-1.000000	1542943535.836405
-1.000000	-1.000000	-1.000000	1542943535.969627
-1.000000	-1.000000	-1.000000	1542943536.369593
-1.000000	-1.000000	-1.000000	1542943536.502810
-1.000000	-1.000000	-1.000000	1542943536.637290
-1.000000	-1.000000	-1.000000	1542943536.770825
-1.000000	-1.000000	-1.000000	1542943536.902899
-1.000000	-1.000000	-1.000000	1542943537.036504
-1.000000	-1.000000	-1.000000	1542943537.170050
-1.000000	-1.000000	-1.000000	1542943537.303196
-1.000000	-1.000000	-1.000000	1542943537.436847
-1.000000	-1.000000	-1.000000	1542943537.569913
-1.000000	-1.000000	-1.000000	1542943537.702949
-1.000000	-1.000000	-1.000000	1542943537.836561
-1.000000	-1.000000	-1.000000	1542943538.102639
