front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
1.825200	470906.867395	4399063.349096	0.000000	0.000000	0.000000	1543393350.608669	0.135003	0.179530	0.449119
1.836864	470906.878297	4399063.346974	0.000000	0.000000	0.000000	1543393350.811967	0.159577	0.133423	0.449429
1.823551	470906.816767	4399063.387034	0.000000	0.000000	0.000000	1543393350.918378	0.270194	0.098453	0.443741
1.839886	470906.914975	4399063.357047	0.000000	0.000000	0.000000	1543393351.013752	0.161881	0.183762	0.427015
1.868110	470906.857073	4399063.313217	0.000000	0.000000	0.000000	1543393351.119209	0.061313	0.110762	0.406957
1.896120	470906.891370	4399063.324786	0.000000	0.000000	0.000000	1543393351.212137	0.116750	0.122084	0.577028
1.823361	470906.827172	4399063.355060	0.000000	0.000000	0.000000	1543393351.318323	0.141996	0.092728	0.404713
1.875357	470906.825867	4399063.395139	0.000000	0.000000	0.000000	1543393351.416067	0.302558	0.164151	0.378511
1.874260	470906.813536	4399063.337799	0.000000	0.000000	0.000000	1543393351.525386	0.213288	0.155254	0.544548
1.946516	470906.840021	4399063.292369	0.000000	0.000000	0.000000	1543393351.614891	0.172868	0.165023	0.344366
1.969964	470906.826872	4399063.324631	0.000000	0.000000	0.000000	1543393351.719066	0.206811	0.152636	0.483635
1.995886	470906.826095	4399063.319727	0.000000	0.000000	0.000000	1543393351.817544	0.166362	0.137044	0.449376
2.064589	470906.838938	4399063.281233	0.000000	0.000000	0.000000	1543393351.919213	0.237683	0.221954	0.555962
2.100610	470906.853205	4399063.282729	0.000000	0.000000	0.000000	1543393352.014833	0.263880	0.251103	0.498342
2.156943	470906.862888	4399063.352501	0.000000	0.000000	0.000000	1543393352.121438	0.287996	0.306733	0.494934
0.620968	470906.880647	4399063.297613	0.000000	0.000000	0.000000	1543393352.211814	0.206599	0.241131	0.500295
-0.218544	470906.860490	4399063.324982	0.000000	0.000000	0.000000	1543393352.322009	0.104073	0.274907	0.492832
0.543947	470906.858391	4399063.381101	0.000000	0.000000	0.000000	1543393352.409190	0.228898	0.321922	0.620716
0.643221	470906.857410	4399063.378221	0.000000	0.000000	0.000000	1543393352.519989	0.231376	0.260438	0.600136
0.755914	470906.829959	4399063.423151	0.000000	0.000000	0.000000	1543393352.615136	0.235905	0.355430	0.592018
