a_x	a_y	a_z	brake	drive-status	front	gun	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.072956	-0.032822	0.078131	14.608500	0.000000	86.788599	16.564501	470838.847821	4399134.398700	0.007842	-0.005576	0.005515	-1.021277	1543481071.978543
0.063946	-0.098198	0.057225	14.656500	0.000000	86.788624	16.612499	470838.847864	4399134.398757	0.007341	-0.004984	0.005390	-1.021277	1543481072.002544
0.058108	-0.080679	0.007859	14.656500	0.000000	86.788609	16.612499	470838.847882	4399134.398775	0.007226	-0.004812	0.005391	-1.021277	1543481072.010542
0.036765	-0.045051	0.011050	14.605500	0.000000	86.788598	16.643999	470838.847863	4399134.398641	0.006793	-0.005532	0.003942	-1.021277	1543481072.018540
0.047921	-0.058968	0.024245	14.643000	1.000000	86.788345	16.660500	470838.847855	4399134.398579	0.007018	-0.005817	0.003927	-1.021277	1543481072.042545
0.059504	-0.067946	0.028568	14.646000	1.000000	86.788268	16.564501	470838.847852	4399134.398558	0.006972	-0.005749	0.003945	-1.021277	1543481072.050545
0.049514	-0.059668	-0.006970	14.646000	1.000000	86.788365	16.564501	470838.847849	4399134.398516	0.006771	-0.005582	0.003832	-1.021277	1543481072.066545
0.069962	-0.093400	0.000220	19.660500	1.000000	86.788417	16.533001	470838.847849	4399134.398474	0.006559	-0.005207	0.003988	-1.021277	1543481072.082543
0.055291	-0.052858	0.026343	19.660500	1.000000	86.788464	16.533001	470838.847850	4399134.398454	0.006597	-0.005262	0.003979	-1.021277	1543481072.090545
0.047304	-0.041541	0.063382	19.660500	1.000000	86.788293	16.516500	470838.847851	4399134.398433	0.006680	-0.005414	0.003913	-1.021277	1543481072.098542
0.059575	-0.010766	0.056751	19.660500	1.000000	86.788085	16.516500	470838.847848	4399134.398392	0.007176	-0.005946	0.004018	-1.021277	1543481072.114545
0.041838	-0.012102	0.012474	19.660500	1.000000	86.787989	16.468500	470838.847842	4399134.398372	0.007445	-0.006330	0.003919	-1.021277	1543481072.122542
0.052760	-0.043348	0.000621	19.660500	1.000000	86.787865	16.468500	470838.847834	4399134.398351	0.007541	-0.006458	0.003893	-1.021277	1543481072.130545
0.061359	-0.069876	0.050760	19.660500	1.000000	86.787899	16.660500	470838.847826	4399134.398330	0.007488	-0.006377	0.003926	-1.021277	1543481072.138545
0.059395	-0.096578	0.009838	19.660500	1.000000	86.788060	16.660500	470838.847815	4399134.398288	0.006992	-0.005788	0.003923	-1.021277	1543481072.154542
0.045493	-0.081281	0.026908	19.660500	1.000000	86.788127	16.643999	470838.847813	4399134.398267	0.006796	-0.005619	0.003823	-1.021277	1543481072.162542
0.058403	-0.053947	0.045606	19.660500	1.000000	86.787927	16.643999	470838.847811	4399134.398222	0.006641	-0.005531	0.003675	-1.021277	1543481072.178545
0.036120	-0.034597	0.077369	19.660500	1.000000	86.788019	16.804501	470838.847802	4399134.398153	0.007068	-0.006131	0.003517	-0.936170	1543481072.202541
0.053556	-0.097198	0.055019	19.660500	1.000000	86.787362	16.773001	470838.847782	4399134.398049	0.006489	-0.005763	0.002981	-0.808511	1543481072.234545
0.063246	-0.092017	0.025514	19.660500	1.000000	86.787193	16.917000	470838.847780	4399134.398020	0.006274	-0.005501	0.003018	-0.659574	1543481072.242543
0.053224	-0.096569	-0.035841	19.660500	1.000000	86.786894	16.917000	470838.847781	4399134.397992	0.005988	-0.005199	0.002971	-0.659574	1543481072.250543
0.056735	-0.115763	0.038961	19.660500	1.000000	86.786656	16.820999	470838.847784	4399134.397963	0.005591	-0.004752	0.002946	-0.468085	1543481072.258545
0.058004	-0.081140	-0.009600	19.660500	1.000000	86.786206	16.868999	470838.847803	4399134.397872	0.005138	-0.004435	0.002595	-0.191489	1543481072.282545
0.063925	-0.084670	0.074862	19.660500	1.000000	86.786177	16.868999	470838.847812	4399134.397841	0.004994	-0.004237	0.002642	-0.191489	1543481072.290545
0.042852	-0.099044	0.007930	19.660500	1.000000	86.786146	16.756500	470838.847823	4399134.397809	0.004661	-0.003926	0.002512	0.085106	1543481072.298540
