a_x	a_y	a_z	brake	drive-status	front	gun	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.055150	-0.077081	0.023441	14.617500	0.000000	86.501700	16.597500	470836.535637	4399134.452609	0.034703	-0.034702	0.000207	0.787234	1543481257.762634
0.045470	-0.094203	0.011887	14.614500	0.000000	86.501661	16.580999	470836.535359	4399134.452581	0.034431	-0.034431	0.000101	0.787234	1543481257.770633
0.045825	-0.078185	0.029977	14.614500	0.000000	86.501587	16.580999	470836.535083	4399134.452552	0.034289	-0.034289	0.000006	0.787234	1543481257.778631
0.048435	-0.066380	0.032517	16.609501	1.000000	86.501435	16.580999	470836.534532	4399134.452493	0.034265	-0.034264	-0.000123	0.787234	1543481257.794634
0.044145	-0.104284	0.030293	16.609501	1.000000	86.501538	16.580999	470836.534258	4399134.452463	0.033916	-0.033915	-0.000243	0.787234	1543481257.802633
0.055957	-0.086494	0.029803	19.660500	1.000000	86.501647	16.597500	470836.533986	4399134.452432	0.033703	-0.033702	-0.000261	0.787234	1543481257.810633
0.055989	-0.069481	0.073317	19.660500	1.000000	86.501785	16.597500	470836.533716	4399134.452401	0.033630	-0.033629	-0.000269	0.787234	1543481257.818629
0.075024	-0.093400	0.029349	19.660500	1.000000	86.501809	16.580999	470836.533179	4399134.452339	0.033130	-0.033129	-0.000125	0.787234	1543481257.834634
0.066862	-0.090062	0.046196	19.660500	1.000000	86.501842	16.580999	470836.532913	4399134.452309	0.032884	-0.032884	-0.000057	0.787234	1543481257.842633
0.074210	-0.092386	-0.007358	19.660500	1.000000	86.501839	16.677000	470836.532650	4399134.452280	0.032612	-0.032612	0.000067	0.787234	1543481257.850634
0.082633	-0.098381	0.044732	19.660500	1.000000	86.502037	16.677000	470836.532389	4399134.452253	0.032293	-0.032292	0.000257	0.787234	1543481257.858633
0.071404	-0.088556	0.034324	19.660500	1.000000	86.502784	16.725000	470836.531617	4399134.452177	0.031771	-0.031764	0.000653	0.787234	1543481257.882631
0.057387	-0.087881	-0.024060	19.660500	1.000000	86.502757	16.868999	470836.531362	4399134.452153	0.031541	-0.031534	0.000644	0.787234	1543481257.890633
0.054883	-0.087565	-0.011198	19.660500	1.000000	86.502977	16.868999	470836.530858	4399134.452104	0.031156	-0.031151	0.000530	0.787234	1543481257.906634
0.067210	-0.105754	0.040552	19.660500	1.000000	86.503354	16.900499	470836.530363	4399134.452054	0.030379	-0.030374	0.000568	0.787234	1543481257.922632
0.084230	-0.118147	-0.014633	19.660500	1.000000	86.503455	16.900499	470836.530194	4399134.451999	0.029900	-0.029890	0.000759	0.787234	1543481257.930631
0.055566	-0.140243	0.071101	19.660500	1.000000	86.503564	16.900499	470836.530028	4399134.451945	0.029260	-0.029252	0.000712	0.787234	1543481257.938632
0.055365	-0.150423	0.033277	19.660500	1.000000	86.503635	16.965000	470836.529868	4399134.451890	0.028536	-0.028529	0.000659	0.808511	1543481257.946631
0.033231	-0.146477	0.045249	19.660500	1.000000	86.503764	16.948500	470836.529565	4399134.451779	0.027148	-0.027145	0.000399	0.829787	1543481257.962631
0.024527	-0.153202	0.037247	19.660500	1.000000	86.503706	16.948500	470836.529422	4399134.451721	0.026415	-0.026415	0.000098	0.829787	1543481257.970631
0.016929	-0.133281	0.045330	19.660500	1.000000	86.503552	16.900499	470836.529284	4399134.451660	0.025850	-0.025849	-0.000254	0.914894	1543481257.978631
0.040206	-0.196165	0.035034	19.660500	1.000000	86.503395	16.900499	470836.528692	4399134.451646	0.023222	-0.023200	-0.001016	1.042553	1543481258.002632
0.049134	-0.210256	0.007940	19.660500	1.000000	86.503333	16.900499	470836.528424	4399134.451739	0.025516	-0.025511	0.000521	1.042553	1543481258.010632
0.057192	-0.234446	0.040134	19.660500	1.000000	86.503229	16.804501	470836.528133	4399134.451788	0.024121	-0.024117	0.000441	1.191489	1543481258.018632
0.052641	-0.181776	0.016003	19.660500	1.000000	86.502832	16.804501	470836.527584	4399134.451883	0.021798	-0.021797	0.000261	1.191489	1543481258.034632
0.051924	-0.164890	0.031797	19.660500	1.000000	86.502129	16.820999	470836.527065	4399134.451975	0.020112	-0.020112	0.000113	1.361702	1543481258.050632
0.051430	-0.148092	-0.001098	19.660500	1.000000	86.501902	16.629000	470836.526815	4399134.452020	0.019406	-0.019406	0.000027	1.595745	1543481258.058630
0.053908	-0.142522	0.044423	19.660500	1.000000	86.501299	16.629000	470836.526331	4399134.452109	0.018110	-0.018110	-0.000090	1.595745	1543481258.074634
0.056278	-0.166783	0.000896	19.660500	1.000000	86.501211	16.677000	470836.526098	4399134.452153	0.017253	-0.017253	-0.000146	1.595745	1543481258.082632
0.066100	-0.177126	-0.071610	19.660500	1.000000	86.501241	16.677000	470836.525872	4399134.452196	0.016302	-0.016302	-0.000131	1.595745	1543481258.090634
0.066587	-0.210205	-0.005229	19.660500	1.000000	86.501832	16.677000	470836.525648	4399134.452267	0.015437	-0.015435	-0.000196	1.808511	1543481258.098634
0.072859	-0.232969	-0.046737	19.660500	1.000000	86.501706	16.677000	470836.525424	4399134.452307	0.014038	-0.014038	-0.000154	1.808511	1543481258.106631
0.080601	-0.181226	-0.000566	19.660500	1.000000	86.501588	16.468500	470836.525006	4399134.452388	0.011879	-0.011878	0.000113	2.042553	1543481258.122631
0.086695	-0.177853	-0.070843	19.660500	1.000000	86.501728	16.468500	470836.524809	4399134.452430	0.010915	-0.010911	0.000292	2.042553	1543481258.130631
0.083693	-0.175523	0.048033	19.660500	1.000000	86.501901	16.468500	470836.524619	4399134.452474	0.009986	-0.009976	0.000453	2.234043	1543481258.138634
0.082222	-0.156843	0.006331	19.660500	1.000000	86.501937	16.468500	470836.524262	4399134.452564	0.008346	-0.008314	0.000730	2.234043	1543481258.154634
0.077431	-0.128080	0.070476	19.660500	1.000000	86.501935	16.437000	470836.524092	4399134.452611	0.007811	-0.007763	0.000865	2.404255	1543481258.162634
0.061600	-0.148129	-0.007215	19.660500	1.000000	86.501908	16.437000	470836.523927	4399134.452658	0.007104	-0.007052	0.000861	2.404255	1543481258.170634
0.046644	-0.172327	0.064576	19.660500	1.000000	86.501930	16.564501	470836.523768	4399134.452705	0.006204	-0.006162	0.000727	2.531915	1543481258.178634
0.051880	-0.168566	0.044208	19.660500	1.000000	86.502026	16.564501	470836.523616	4399134.452751	0.005335	-0.005296	0.000637	2.531915	1543481258.186634
0.055393	-0.203440	0.044046	19.660500	1.000000	86.502440	16.533001	470836.523338	4399134.452840	0.003038	-0.003012	0.000394	2.617021	1543481258.202633
0.068455	-0.211248	-0.005152	19.660500	1.000000	86.502688	16.533001	470836.523213	4399134.452884	0.001841	-0.001794	0.000414	2.617021	1543481258.210631
0.051833	-0.216584	0.010656	19.660500	1.000000	86.502907	16.564501	470836.523098	4399134.452927	0.000619	-0.000542	0.000299	2.680851	1543481258.218634
0.056670	-0.183556	0.013383	19.660500	1.000000	86.503106	16.564501	470836.522992	4399134.452969	0.000508	0.000448	0.000239	2.680851	1543481258.226631
0.063961	-0.157644	0.031139	19.660500	1.000000	86.503310	16.691999	470836.522802	4399134.453054	0.002202	0.002188	0.000247	2.723404	1543481258.242634
