a_x	a_y	a_z	brake	drive-status	front	gun	position_x	position_y	speed	speed_x	speed_y	steer	timestamp
0.058549	-0.092320	0.009265	19.660500	1.000000	88.800196	16.612499	470837.280288	4399134.754860	0.000973	0.000013	-0.000973	1.765957	1543481451.498723
0.057578	-0.100544	-0.011755	19.660500	1.000000	88.800224	16.564501	470837.280254	4399134.754844	0.001031	0.000343	-0.000972	1.808511	1543481451.506724
0.065093	-0.070488	-0.018392	19.660500	1.000000	88.800193	16.564501	470837.280342	4399134.754815	0.001509	0.001255	-0.000838	1.808511	1543481451.522724
0.053735	-0.051742	0.019302	19.660500	1.000000	88.800162	16.643999	470837.280370	4399134.754809	0.001468	0.001190	-0.000859	1.893617	1543481451.530725
0.056720	-0.046928	0.044771	19.660500	1.000000	88.799873	16.643999	470837.280396	4399134.754803	0.001381	0.001084	-0.000855	1.893617	1543481451.538724
0.061519	-0.033171	0.026486	19.660500	1.000000	88.799555	16.612499	470837.280446	4399134.754791	0.001076	0.000736	-0.000785	1.957447	1543481451.554726
0.055697	-0.052327	0.043321	19.660500	1.000000	88.799533	16.643999	470837.280491	4399134.754781	0.000947	0.000596	-0.000736	2.000000	1543481451.570726
0.054855	-0.064161	0.019078	19.660500	1.000000	88.799353	16.564501	470837.280514	4399134.754776	0.000980	0.000630	-0.000750	2.063830	1543481451.578724
0.070089	-0.065175	0.024308	19.660500	1.000000	88.798861	16.564501	470837.280585	4399134.754762	0.001028	0.000835	-0.000600	2.063830	1543481451.602724
0.058423	-0.054711	0.046766	19.660500	1.000000	88.796646	16.612499	470837.280560	4399134.754755	0.000572	-0.000353	-0.000450	2.106383	1543481451.618726
0.057934	-0.054603	0.019748	19.660500	1.000000	88.796572	16.564501	470837.280506	4399134.754755	0.000468	-0.000255	-0.000392	2.170213	1543481451.634726
0.052721	-0.054817	0.024812	19.660500	1.000000	88.796589	16.564501	470837.280479	4399134.754754	0.000515	-0.000296	-0.000422	2.170213	1543481451.642722
0.057297	-0.070413	-0.049444	19.660500	1.000000	88.796481	16.612499	470837.280452	4399134.754754	0.000467	-0.000204	-0.000420	2.212766	1543481451.650726
0.051605	-0.072331	0.058469	19.660500	1.000000	88.796328	16.612499	470837.280426	4399134.754753	0.000473	-0.000109	-0.000460	2.212766	1543481451.658724
0.076633	-0.059506	0.026538	19.660500	1.000000	88.796396	16.708500	470837.280376	4399134.754754	0.000192	0.000085	-0.000172	2.276596	1543481451.674726
0.068450	-0.045877	0.038953	19.660500	1.000000	88.796266	16.708500	470837.280352	4399134.754756	0.000078	-0.000026	-0.000074	2.276596	1543481451.682724
0.069426	-0.052560	-0.042025	19.660500	1.000000	88.796175	16.677000	470837.280326	4399134.754759	0.000080	-0.000075	0.000028	2.297872	1543481451.690726
0.057737	-0.043812	0.075442	19.660500	1.000000	88.796135	16.677000	470837.280300	4399134.754762	0.000213	-0.000209	0.000043	2.297872	1543481451.698726
0.043374	-0.035323	0.011352	19.660500	1.000000	88.795936	16.677000	470837.280244	4399134.754768	0.000616	-0.000609	-0.000093	2.319149	1543481451.714723
0.037778	-0.039766	0.033724	19.660500	1.000000	88.795935	16.677000	470837.280213	4399134.754769	0.000810	-0.000774	-0.000239	2.319149	1543481451.722723
0.040934	-0.058485	-0.018393	19.660500	1.000000	88.795957	16.677000	470837.280182	4399134.754770	0.000865	-0.000784	-0.000366	2.340425	1543481451.730723
0.046429	-0.082712	0.020982	19.660500	1.000000	88.796022	16.677000	470837.280152	4399134.754769	0.000752	-0.000603	-0.000450	2.340425	1543481451.738724
0.063894	-0.082313	-0.002104	19.660500	1.000000	88.796111	16.643999	470837.280095	4399134.754768	0.000485	-0.000282	-0.000395	2.340425	1543481451.754724
0.073053	-0.085271	0.006369	19.660500	1.000000	88.796027	16.643999	470837.280068	4399134.754769	0.000277	-0.000074	-0.000267	2.340425	1543481451.762724
0.073481	-0.072564	0.009901	19.660500	1.000000	88.796008	16.629000	470837.280043	4399134.754770	0.000138	0.000032	-0.000134	2.361702	1543481451.770724
0.063212	-0.059870	0.014418	19.660500	1.000000	88.796036	16.629000	470837.280018	4399134.754772	0.000088	0.000035	-0.000081	2.361702	1543481451.778724
0.039198	-0.023471	0.062613	19.660500	1.000000	88.795806	16.564501	470837.279966	4399134.754775	0.000532	-0.000452	-0.000280	2.361702	1543481451.794724
0.053445	-0.019236	0.034125	19.660500	1.000000	88.795677	16.564501	470837.279936	4399134.754776	0.000833	-0.000779	-0.000297	2.361702	1543481451.802726
0.049889	-0.036314	0.013084	14.676000	1.000000	88.795654	19.285500	470837.279904	4399134.754776	0.001028	-0.000968	-0.000346	2.382979	1543481451.810723
0.048121	-0.049363	0.055571	14.676000	1.000000	88.795798	19.285500	470837.279871	4399134.754776	0.001133	-0.001057	-0.000410	2.382979	1543481451.818723
0.051669	-0.078629	-0.000846	14.601000	1.000000	88.796007	19.778999	470837.279805	4399134.754775	0.001001	-0.000894	-0.000451	2.382979	1543481451.834723
0.063908	-0.082225	-0.009182	14.601000	1.000000	88.795909	19.778999	470837.279774	4399134.754775	0.000814	-0.000711	-0.000397	2.382979	1543481451.842726
0.068978	-0.101773	0.003204	14.715000	1.000000	88.795885	20.029499	470837.279744	4399134.754775	0.000480	-0.000371	-0.000305	2.382979	1543481451.850724
0.064095	-0.093454	-0.005523	14.715000	1.000000	88.795826	20.029499	470837.279717	4399134.754776	0.000269	-0.000098	-0.000251	2.382979	1543481451.858724
0.070675	-0.065570	-0.009853	14.601000	1.000000	88.795360	20.289000	470837.279667	4399134.754780	0.000018	-0.000017	0.000004	2.382979	1543481451.874724
0.061185	-0.058969	0.012640	14.601000	1.000000	88.795408	20.289000	470837.279642	4399134.754783	0.000047	-0.000022	0.000042	2.382979	1543481451.882726
0.066316	-0.025190	0.070999	14.649000	1.000000	88.795428	20.551500	470837.279615	4399134.754787	0.000328	-0.000302	0.000128	2.382979	1543481451.890724
0.070391	-0.012173	0.026566	14.649000	1.000000	88.795354	20.551500	470837.279586	4399134.754791	0.000725	-0.000681	0.000247	2.382979	1543481451.898723
0.054574	-0.026464	0.002127	14.647500	1.000000	88.795341	20.813999	470837.279555	4399134.754796	0.000976	-0.000947	0.000236	2.382979	1543481451.906727
0.055383	-0.047381	0.039471	14.647500	1.000000	88.795005	20.813999	470837.279470	4399134.754804	0.001260	-0.001248	0.000176	2.382979	1543481451.922726
0.054945	-0.062739	0.015126	14.650500	1.000000	88.794888	21.069000	470837.279417	4399134.754807	0.001235	-0.001224	0.000163	2.404255	1543481451.930726
0.059009	-0.072438	0.009632	14.650500	1.000000	88.794863	21.069000	470837.279366	4399134.754811	0.001136	-0.001122	0.000180	2.404255	1543481451.938727
0.067503	-0.084724	0.013198	14.692500	1.000000	88.794758	21.327000	470837.279268	4399134.754818	0.000648	-0.000595	0.000258	2.404255	1543481451.954726
0.075869	-0.083279	0.004419	14.692500	1.000000	88.794667	21.327000	470837.279221	4399134.754823	0.000573	-0.000402	0.000408	2.404255	1543481451.962724
0.052042	-0.073551	-0.011849	14.650500	1.000000	88.794669	21.587999	470837.279176	4399134.754828	0.000469	-0.000289	0.000369	2.404255	1543481451.970721
0.050578	-0.031277	0.034473	14.650500	1.000000	88.794660	21.587999	470837.279130	4399134.754833	0.000614	-0.000520	0.000326	2.404255	1543481451.978721
0.058837	-0.039602	-0.007177	14.650500	1.000000	88.794570	21.587999	470837.279083	4399134.754837	0.000762	-0.000678	0.000347	2.404255	1543481451.986726
0.055443	-0.045027	0.037454	14.671500	1.000000	88.794335	21.855000	470837.278985	4399134.754846	0.000986	-0.000946	0.000279	2.404255	1543481452.002726
0.058125	-0.067220	0.005480	14.640000	1.000000	88.794244	22.117500	470837.279012	4399134.754845	0.000822	-0.000765	0.000301	2.404255	1543481452.010726
0.052848	-0.064878	0.040031	14.640000	1.000000	88.794244	22.117500	470837.279008	4399134.754848	0.000776	-0.000728	0.000271	2.404255	1543481452.018723
0.054486	-0.051151	0.030755	14.674500	1.000000	88.794175	22.363501	470837.279004	4399134.754851	0.000838	-0.000798	0.000256	2.404255	1543481452.026726
0.057456	-0.071780	0.035062	14.674500	1.000000	88.794144	22.363501	470837.278996	4399134.754856	0.000708	-0.000666	0.000240	2.404255	1543481452.042726
0.047729	-0.042288	0.010343	14.644500	1.000000	88.794003	22.594500	470837.278993	4399134.754859	0.000824	-0.000806	0.000172	2.404255	1543481452.050721
0.025631	0.097333	-0.040672	14.644500	1.000000	88.793898	22.594500	470837.278983	4399134.754860	0.002063	-0.002063	-0.000052	2.404255	1543481452.058726
0.011579	0.279748	-0.078799	14.649000	1.000000	88.793724	22.819500	470837.278958	4399134.754859	0.004789	-0.004776	-0.000358	2.425532	1543481452.066726
-0.011168	0.452598	-0.221337	14.649000	1.000000	88.793208	22.819500	470837.278826	4399134.754848	0.012538	-0.012474	-0.001261	2.425532	1543481452.082726
0.027275	0.443166	-0.233959	14.649000	1.000000	88.792552	22.819500	470837.278712	4399134.754839	0.016537	-0.016476	-0.001421	2.425532	1543481452.090725
0.081583	0.374265	-0.270654	14.695500	1.000000	88.791850	23.034000	470837.278568	4399134.754830	0.019948	-0.019914	-0.001161	2.425532	1543481452.098726
0.117246	0.316197	-0.222724	14.695500	1.000000	88.791432	23.034000	470837.278399	4399134.754824	0.022897	-0.022889	-0.000623	2.446809	1543481452.106727
0.092353	0.425674	-0.171867	14.695500	1.000000	88.792523	23.034000	470837.277944	4399134.754845	0.030515	-0.030511	0.000470	2.446809	1543481452.122725
0.047662	0.512417	-0.087768	14.598000	1.000000	88.792852	23.350500	470837.277659	4399134.754856	0.035085	-0.035082	0.000491	2.446809	1543481452.130726
0.015418	0.544610	-0.004525	14.598000	1.000000	88.793193	23.350500	470837.277337	4399134.754867	0.039922	-0.039921	0.000263	2.446809	1543481452.138724
0.010788	0.545065	-0.014702	14.673000	1.000000	88.793390	23.459999	470837.276976	4399134.754875	0.044764	-0.044764	-0.000003	2.446809	1543481452.146723
0.054545	0.390135	0.070985	14.673000	1.000000	88.793229	23.459999	470837.276148	4399134.754890	0.052767	-0.052767	-0.000020	2.446809	1543481452.162727
0.082371	0.334741	0.087140	14.673000	1.000000	88.792859	23.459999	470837.275691	4399134.754899	0.055929	-0.055929	0.000256	2.446809	1543481452.170729
0.107097	0.305684	0.110985	14.673000	1.000000	88.792667	23.459999	470837.275210	4399134.754911	0.058859	-0.058854	0.000726	2.446809	1543481452.178727
0.074652	0.261086	0.146077	14.671500	1.000000	88.792971	23.605499	470837.274181	4399134.754944	0.064153	-0.064140	0.001289	2.446809	1543481452.194725
0.065751	0.278880	0.114209	14.671500	1.000000	88.793210	23.605499	470837.273635	4399134.754963	0.066874	-0.066858	0.001424	2.446809	1543481452.202726
0.050401	0.296691	0.142521	14.650500	1.000000	88.793616	23.718000	470837.273066	4399134.754982	0.069739	-0.069724	0.001441	2.446809	1543481452.210726
0.036115	0.328048	0.169820	14.650500	1.000000	88.793844	23.718000	470837.272474	4399134.755002	0.072857	-0.072844	0.001349	2.446809	1543481452.218724
0.032742	0.433996	0.103079	14.623500	1.000000	88.793949	23.895000	470837.271206	4399134.755039	0.080348	-0.080340	0.001146	2.446809	1543481452.234725
0.039304	0.475247	0.046170	14.599500	1.000000	88.793971	24.054001	470837.270524	4399134.755057	0.084634	-0.084627	0.001099	2.446809	1543481452.242726
0.042169	0.490157	0.097540	14.599500	1.000000	88.793910	24.054001	470837.269807	4399134.755074	0.089044	-0.089038	0.001080	2.446809	1543481452.250729
0.033982	0.481407	0.054077	14.628000	1.000000	88.793910	24.232500	470837.269056	4399134.755092	0.093378	-0.093372	0.000992	2.446809	1543481452.258725
0.038216	0.471028	-0.037205	14.628000	1.000000	88.793995	24.232500	470837.268270	4399134.755108	0.097621	-0.097617	0.000932	2.446809	1543481452.266725
0.034361	0.460745	-0.043183	14.628000	1.000000	88.794197	24.232500	470837.266596	4399134.755140	0.106004	-0.106002	0.000682	2.446809	1543481452.282725
0.052079	0.473663	-0.021509	14.226000	1.000000	88.794199	24.511499	470837.265709	4399134.755155	0.110269	-0.110267	0.000734	2.446809	1543481452.290727
0.046865	0.507611	-0.006009	14.226000	1.000000	88.794262	24.511499	470837.264787	4399134.755171	0.114808	-0.114806	0.000751	2.446809	1543481452.298729
0.061008	0.568502	-0.013823	14.674500	1.000000	88.794054	24.629999	470837.262828	4399134.755204	0.124614	-0.124610	0.000979	2.446809	1543481452.314729
0.068951	0.596299	-0.031836	14.674500	1.000000	88.793982	24.629999	470837.261789	4399134.755223	0.129854	-0.129849	0.001186	2.446809	1543481452.322725
